video_id	video_title
6MQRL7xws7w	Best VGM 01 - Wild Arms - Town Theme
P8oefrmJrWk	Best VGM 02 - Metroid Prime - Ice Valley (Phendrana Deep Lake)
Y5HHYuQi7cQ	Best VGM 03 - Castlevania : Curse of Darkness - Garibaldi Courtyard
GBYsdw4Vwx8	Best VGM 05 - Silent Hill 2 - Theme of Laura
iSP-_hNQyYs	Best VGM 06 - Chrono Trigger - Undersea Palace
AvlfNZ685B8	Best VGM 07 - Chaos Legion - Feel No Fear (Sky Gallery)
AGWVzDhDHMc	Best VGM 08 - Shadow Hearts II : Covenant - Astaroth (Fallen Angel Battle)
DlcwDU0i6Mw	Best VGM 09 - Tribes 2 - Desert
jChHVPyd4-Y	Best VGM 11 - Zelda : Ocarina of Time - Song of Storms (Windmill Hut)
e9xHOWHjYKc	Best VGM 12 - Beyond Good & Evil - Home Sweet Home
kDssUvBiHFk	Best VGM 13 - Yoshi's Island - Overworld Stage (Touch Fuzzy, Get Dizzy)
lBEvtA4Uuwk	Best VGM 14 - Wild Arms - Port Town Theme
bW3KNnZ2ZiA	Best VGM 15 - Chrono Trigger - Silent Light
Je3YoGKPC_o	Best VGM 16 - Grandia II - Fight!! Ver.4 ~ Final Battle
9FZ-12a3dTI	Best VGM 17 - Deus Ex - The Synapse (Wan Chai)
bdNrjSswl78	Best VGM 18 - Kingdom Hearts II - Afternoon Streets (Twilight Town ~ Sora)
-LId8l6Rc6Y	Best VGM 19 - Xenosaga III - In a Limestone Cave
yz1yrVcpWjA	Best VGM 21 - Persona 3 - The Battle for Everybody's Souls
-BmGDtP2t7M	Best VGM 22 - Castlevania Curse of Darkness - Cordova Town
xdQDETzViic	Best VGM 23 - The 7th Saga - Town Theme
f1QLfSOUiHU	Best VGM 24 - Zelda : Ocarina of Time - Gerudo Valley
m4uR39jNeGE	Best VGM 25 - Wild Arms 3 - A Person's Warmth (Quiet Town)
Cm9HjyPkQbg	Best VGM 26 - Soul Edge - A Continental Gale (Rock's Stage)
aumWblPK58M	Best VGM 27 - SaGa Frontier - Sunset Town
YKe8k8P2FNw	Best VGM 28 - Baten Kaitos - House of Cards
hrxseupEweU	Best VGM 29 - Unreal Tournament 2003 & 2004 - Level 6
W7RPY-oiDAQ	Best VGM 30 - Final Fantasy VI - Terra
JV8qMsWKTvk	Best VGM 31 - Legaia 2 - God's Fist
cqkYQt8dnxU	Best VGM 32 - Shadow Hearts III - Land of the Spirits
tdsnX2Z0a3g	Best VGM 33 - Blast Corps - Beeton Tracks
H1B52TSCl_A	Best VGM 34 - Super Mario 64 - Dire Dire Docks / Jolly Roger Bay
ROKcr2OTgws	Best VGM 35 - Chrono Cross - Dream of the Shore Near Another World
rt0hrHroPz8	Best VGM 36 - Phoenix Wright: Ace Attorney - Turnabout Sisters
oFbVhFlqt3k	Best VGM 37 - Xenogears - Bonds of Sea and Fire
J_cTMwAZil0	Best VGM 38 - Wild Arms 4 - Nightless City Guara Bobelo
AVvhihA9gRc	Best VGM 39 - Berserk - Opening (Sign)
G_80PQ543rM	Best VGM 40 - DuckTales - The Moon
Bkmn35Okxfw	Best VGM 41 - Final Fantasy VII - You Can Hear the Cry of the Planet
